filename,category,course_number,course_title,session_number,session_date,session_content,session_learning_objectives,course_learning_objectives,lecturer
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,1,5 AUG 25,Introduction to Entrepreneurship,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,2,12 AUG 25,The Entrepreneurial Process,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,3,19 AUG 25,Innovation and Entrepreneurship,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,4,26 AUG 25,Opportunity recognition,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,5,2 SEP 25,First Team Project Portfolio (30%),"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,6,9 SEP 25,Entrepreneurial Strategy,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,7,16 SEP 25,Lean Startups,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,8,23 SEP 25,Business Models and Business Model Canvas,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,9,30 SEP 25,Ethics and Sustainability,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,10,7 OCT 25,Second Team Project Portfolio (30%),"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,11,14 OCT 25,Digital Transformation,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,12,21 OCT 25,Entrepreneurial ecosystems,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,13,28 OCT 25,Stakeholders,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Entrepreneurial Science and Behaviour_Syllabus(1).docx,input,5601104,Entrepreneurial Science and Behaviour,14,4 NOV 25,Growth and Internationalisation,"1,2 and 3","1. Have a good understanding of the main components of entrepreneurship, such as entrepreneurial mindset, opportunity recognition, new business opportunities, the role of innovation, and managing a new venture until growth and/or profitability.
2. Be able to apply entrepreneurial mindset and behaviour in one’s own business or in the context of corporate entrepreneurship",Dr Jose Christian
Course 5600122 syllabus - Sci of Life S1-AY2025.docx,Trandisciplinary,5600122,"The Science of Life: Physics, Chemistry, Biology and Medical Tech",1,07 August,Life Science & Human Cell Biology Definition of life. Intro on biochemistry/biomolecules. Cells as the units of life. Overview of human physiology and homeostasis.,"Understand the foundational principles of physics, chemistry, and biology. Get prepared to understand better some scientific aspects during specialization courses during the follow-up of BAScii curriculum.","Understand the foundational principles of Physics, chemistry, and biology.
Grasp the interdisciplinary connections amongst these fields and their implications for advancements in science and technology.
Develop critical thinking and problem-solving skills.
Get prepared to understand better some scientific aspects of specialisation courses during BAScii curriculum.
Get the ability to be more critical with all information involving science/tech surrounding us.
Learning Contents/ Learning Schedule
Classroom and Time: Chamchuri 10 – floor 3 – CSII Digital Auditorium, Thursdays 13:00-16:00
14.3 Learning Outcomes
Methods
14.4 Media",Sebastien Bertin-Maghit
